epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,726.553,1.17061,1.26362,1.19085,0.61838,0.52017,0.5667,0.39473,1.20695,1.23678,1.19066,0.000370173,0.000370173,0.000370173
2,1390.21,1.22141,1.28934,1.22766,0.63141,0.52504,0.55862,0.37926,1.23517,1.27257,1.21341,0.000667196,0.000667196,0.000667196
3,2052.32,1.24827,1.31783,1.24332,0.7024,0.52425,0.60318,0.42033,1.23843,1.29053,1.2171,0.000890893,0.000890893,0.000890893
4,2710.15,1.23996,1.2912,1.24123,0.70105,0.51168,0.59965,0.41816,1.2273,1.25127,1.20974,0.000781033,0.000781033,0.000781033
5,3364.96,1.20986,1.24696,1.21932,0.71237,0.52647,0.61479,0.4303,1.2189,1.21813,1.20175,0.000671044,0.000671044,0.000671044
6,4019.37,1.18308,1.18997,1.20273,0.66165,0.55233,0.60655,0.43326,1.20336,1.19094,1.18686,0.000561055,0.000561055,0.000561055
7,4673.52,1.15698,1.14239,1.18585,0.73929,0.55326,0.64249,0.45735,1.17287,1.14309,1.17261,0.000451066,0.000451066,0.000451066
8,5328.68,1.12945,1.08996,1.17034,0.70933,0.57612,0.64288,0.46184,1.16002,1.12463,1.16573,0.000341077,0.000341077,0.000341077
9,5982.54,1.10519,1.047,1.15142,0.74344,0.5728,0.65617,0.47033,1.14887,1.10276,1.15681,0.000231088,0.000231088,0.000231088
10,6635.99,1.08159,1.00681,1.13856,0.74034,0.59235,0.66456,0.48143,1.1374,1.07877,1.14862,0.000121099,0.000121099,0.000121099
